Year,Season,latitude,longitude,Hujan
1985,AMJ,-11.5,118.0,63.73626373626373
1985,AMJ,-11.5,118.25,61.53846153846154
1985,AMJ,-11.5,118.5,57.14285714285714
1985,AMJ,-11.5,118.75,59.34065934065934
1985,AMJ,-11.5,119.0,59.34065934065934
1985,AMJ,-11.5,119.25,58.24175824175825
1985,AMJ,-11.5,119.5,56.043956043956044
1985,AMJ,-11.5,119.75,57.14285714285714
1985,AMJ,-11.5,120.0,60.43956043956044
1985,AMJ,-11.5,120.25,60.43956043956044
1985,AMJ,-11.5,120.5,58.24175824175825
1985,AMJ,-11.5,120.75,54.94505494505495
1985,AMJ,-11.5,121.0,52.74725274725275
1985,AMJ,-11.5,121.25,52.74725274725275
1985,AMJ,-11.5,121.5,51.64835164835166
1985,AMJ,-11.5,121.75,49.45054945054945
1985,AMJ,-11.5,122.0,48.35164835164835
1985,AMJ,-11.5,122.25,47.25274725274725
1985,AMJ,-11.5,122.5,46.15384615384615
1985,AMJ,-11.5,122.75,46.15384615384615
1985,AMJ,-11.5,123.0,43.956043956043956
1985,AMJ,-11.5,123.25,42.857142857142854
1985,AMJ,-11.5,123.5,45.05494505494506
1985,AMJ,-11.5,123.75,38.46153846153847
1985,AMJ,-11.5,124.0,40.65934065934066
1985,AMJ,-11.5,124.25,40.65934065934066
1985,AMJ,-11.5,124.5,39.56043956043956
1985,AMJ,-11.5,124.75,39.56043956043956
1985,AMJ,-11.5,125.0,38.46153846153847
1985,AMJ,-11.5,125.25,32.967032967032964
1985,AMJ,-11.5,125.5,35.16483516483517
1985,AMJ,-11.25,118.0,63.73626373626373
1985,AMJ,-11.25,118.25,61.53846153846154
1985,AMJ,-11.25,118.5,63.73626373626373
1985,AMJ,-11.25,118.75,62.637362637362635
1985,AMJ,-11.25,119.0,61.53846153846154
1985,AMJ,-11.25,119.25,60.43956043956044
1985,AMJ,-11.25,119.5,60.43956043956044
1985,AMJ,-11.25,119.75,60.43956043956044
1985,AMJ,-11.25,120.0,63.73626373626373
1985,AMJ,-11.25,120.25,62.637362637362635
1985,AMJ,-11.25,120.5,60.43956043956044
1985,AMJ,-11.25,120.75,61.53846153846154
1985,AMJ,-11.25,121.0,56.043956043956044
1985,AMJ,-11.25,121.25,54.94505494505495
1985,AMJ,-11.25,121.5,51.64835164835166
1985,AMJ,-11.25,121.75,56.043956043956044
1985,AMJ,-11.25,122.0,54.94505494505495
1985,AMJ,-11.25,122.25,54.94505494505495
1985,AMJ,-11.25,122.5,49.45054945054945
1985,AMJ,-11.25,122.75,49.45054945054945
1985,AMJ,-11.25,123.0,47.25274725274725
1985,AMJ,-11.25,123.25,48.35164835164835
1985,AMJ,-11.25,123.5,49.45054945054945
1985,AMJ,-11.25,123.75,42.857142857142854
1985,AMJ,-11.25,124.0,45.05494505494506
1985,AMJ,-11.25,124.25,43.956043956043956
1985,AMJ,-11.25,124.5,43.956043956043956
1985,AMJ,-11.25,124.75,42.857142857142854
1985,AMJ,-11.25,125.0,40.65934065934066
1985,AMJ,-11.25,125.25,39.56043956043956
1985,AMJ,-11.25,125.5,37.362637362637365
1985,AMJ,-11.0,118.0,61.53846153846154
1985,AMJ,-11.0,118.25,61.53846153846154
1985,AMJ,-11.0,118.5,62.637362637362635
1985,AMJ,-11.0,118.75,60.43956043956044
1985,AMJ,-11.0,119.0,61.53846153846154
1985,AMJ,-11.0,119.25,60.43956043956044
1985,AMJ,-11.0,119.5,62.637362637362635
1985,AMJ,-11.0,119.75,64.83516483516483
1985,AMJ,-11.0,120.0,64.83516483516483
1985,AMJ,-11.0,120.25,64.83516483516483
1985,AMJ,-11.0,120.5,60.43956043956044
1985,AMJ,-11.0,120.75,62.637362637362635
1985,AMJ,-11.0,121.0,58.24175824175825
1985,AMJ,-11.0,121.25,60.43956043956044
1985,AMJ,-11.0,121.5,57.14285714285714
1985,AMJ,-11.0,121.75,53.84615384615385
1985,AMJ,-11.0,122.0,54.94505494505495
1985,AMJ,-11.0,122.25,58.24175824175825
1985,AMJ,-11.0,122.5,50.54945054945055
1985,AMJ,-11.0,122.75,50.54945054945055
1985,AMJ,-11.0,123.0,50.54945054945055
1985,AMJ,-11.0,123.25,54.94505494505495
1985,AMJ,-11.0,123.5,52.74725274725275
1985,AMJ,-11.0,123.75,49.45054945054945
1985,AMJ,-11.0,124.0,49.45054945054945
1985,AMJ,-11.0,124.25,48.35164835164835
1985,AMJ,-11.0,124.5,52.74725274725275
